iban,balance
IDT5BNYC4J8NQFGJSDHKRKR7,725298.27
QR66AYZFKG7FHBLYIPACG06Z,16224.24
UTK199ACFANYLGO22JFAY696,6608.47
0N18PMKGJVYGEQTDA9KYIQZ2,43476.98
GBPFSJG3QEXLYFJVK4WAZ80C,11702.51
8DQBOH9QRE5CS5YPAWRF7YGM,8387.23
GMUKVE6SERWZVJIO1IT1EWX6,1864740.21
UPO9XOO4BRTPBSAQGLSABEK3,6239.40
TFWSMANG7LMWNZ5DUX5AP0JC,4080.56
4FZKPMNZT0ROZMSEQRUC4DJM,129387.58
PGGCWRY35FNTOHV8XNYJPNXS,48727.47
97J9V4RFM7EPA4XKSOI125FJ,12710.89
Q8R9907C3OKPSGUONVCOAD8R,10620.51
OVP8KFSCF5VRXCU3ZLKCTOA3,151240.26
UJ7Q5UKAUR8FVDURX944IHXN,4581.22
UCRIXRGUJ6T4QI3PI8K337L4,4992.20
25DVYDBNMMO7U4UOJ31GBDIZ,28539.58
1BFD8TVFWZLVDPRJPQ3K2BC4,8284.25
043SPX1G4P30A8MGBECOOV8V,70927.91
M3S63OVU30YN9DVP1HTSOD8M,29636.10
9B39S1WMK94EJCG9PMGUYXM2,5125.02
LS8F8GUMPBLPUQ9HNOF65G0O,10478.87
H26UXIF2ZXUQM9261V4Y98DW,6055.31
28FP1XLCA6WOX7AI3R0JYSRP,721862.16
XZ8S6VLOKPQBCL067YKYRSN7,1804944.78
RC07EIO2JMOWM9RZAPZTPYTK,11007.00
JAKNLTYZQHYK3P1AD4EIIBJ2,7074.50
H1PRXPE4Q7617WUJ4GN74A8G,166306.06
P677ILLHUH78B7SM70OVEPRA,7129.41
BZOSOW436LUMWMYCH47N1ZNI,1346043.79
TSNMPTJ4CF387N0D24Q9NCLW,589.31
4TX4A4VRJPOVXSAUWKQ22QQ8,5686.08
HK6FR7AHO1SYH107SP12YX94,767963.80
PWVVA6HT7W8F72OGEDBD5FLY,29695.31
N8A9HADE21FOBYIUAMV4QRJ1,68161.60
JKRG87878MW0DP7LYO3WLM65,7653.25
TJW527LK03NPN1Z6077IZZQ4,1192455.07
Q140Z1O7P7VGI70C0FHIFL9B,6605.36
7SVXPFANOSDLQU4M43RVRQ45,29150.24
AE993O774OIH1BTCM9OBFB5V,380.93
WKWODLMB62QRD8OREXNQPYF7,12651.99
97XI6JL83Q7FXL4HONO36J88,6576.26
PKIYNQTV95PDYW7NGR13T8B4,145680.25
D6J2JIZAEEZJJ68IZRULK80M,31743.50
ZGT8HZOM71UABHYHDFAD4QOQ,938910.23
ORZXZ9X3FN0G6YN6C3AEZC4B,1423746.28
AZX7GCSMLOULZE0VZTS35KJT,397.22
PML2YC2ZO0PIB6KOHO9SR2QL,393308.65
OAHW3N9SYTSNH4LQV795U4HC,11557.44
8IKTQ2XGEJF0SEYUTU1MEKC1,2900.19
SRDS4S96TZUX4BCXADQ9Q26B,1667346.16
19H6D3F0DSQVELU64M1BLF14,28808.18
6XFP9X08OX4NJT70R8FTIHES,6244.68
3DU5SEGGMHCN93AHP9U1CXGO,10227.49
K1ZPQHHPOXBMG44M386NWTTN,27658.45
WLB6LMMYRILCSCA9Z5VLAIOM,3172.73
2WSBE9MUXJO36YVRGTPSY7YR,341316.29
7OS6BTK7VH5XRMO84A7QXU4O,6118.04
R8L9050VXUSCCUNMLDDA1CBK,27798.60
F4501CHUX9CVQMGESQ6YT51S,71021.62
Z3T00FS8CWX67QNQ9IAMC4B7,1952429.23
JUTPK3D1LAMX4I2QJRNSDWK0,64210.35
69MJWXZ02DOGPS46JCZC7MSM,351922.30
RE1NNQDWNGJ0IUW6HCPDRMW7,12374.10
BFPHPCH83EW4P94IL39SIEFH,2895997.71
0P2W2BEJA1KXWY3PDTFDHR35,640829.68
VWPQA9YRPMK0NC17VAHL8QLH,12710.97
UU2MC7OUYA6GO479OSLDAGCC,3113.24
QIJDAULBH5V0TWSZK6IC1IV7,4503933.42
GX8HWRLUQWHUOI8FQ7K443GP,88693.58
V8J4QR27CT0UF1CJ6B0JUPU4,1851.03
RUZOEQNPEYQ110WTGXTBMUA6,12117.03
4FSM02FCNNK3BNOI2SDHH91Z,6982.70
03FFPQ3WCDW153PM8MMMM9L0,6900.65
G18VM82AXZMN35VYDFT0L21W,165005.12
